Team,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,pointsInPaint,turnovers,tpm,secondChancePoints,points,longestRun,steals,fastBreakPoints,pointsOffTurnovers,ftm,biggestLead,fgp
Nets,3,240,29,45.9,52,42,17,42,10,-7,99,37,73.7,19,36,13,17,8,115,14,5,15,12,14,10,42.4
Hawks,4,240,18,31.7,54,44,18,36,10,7,86,41,75.5,49,36,6,13,14,122,14,10,12,15,37,15,41.9
