Team,blocks,min,pFouls,tpp,totReb,defReb,assists,fgm,offReb,plusMinus,fga,tpa,ftp,fta,pointsInPaint,turnovers,tpm,secondChancePoints,points,longestRun,steals,fastBreakPoints,pointsOffTurnovers,ftm,biggestLead,fgp
Clippers,7,240,17,53.5,36,28,34,56,8,34,92,43,75.0,24,58,9,23,13,153,12,9,23,23,18,43,60.9
Bucks,5,240,19,32.0,38,25,30,50,13,-34,94,25,61.1,18,68,15,8,19,119,7,6,12,12,11,5,53.2
